TS,VEJNAVN,ÅR,KATEGORI,ANTAL 8-9
5,DRONNING LOUISES BRO,2014,A+B: KØRETØJER I ALT,476
5,DRONNING LOUISES BRO,2014,A: LET TRAFIK I ALT,398
5,DRONNING LOUISES BRO,2014,B: TUNG TRAFIK I ALT,78
5,DRONNING LOUISES BRO,2014,BUSSER,60
5,DRONNING LOUISES BRO,2014,LASTBILER,18
5,DRONNING LOUISES BRO,2014,PERSONBILER + MC,290
5,DRONNING LOUISES BRO,2014,"VAREVOGNE (MAX. 3,5 t)",108
5,DRONNING LOUISES BRO,2015,A+B: KØRETØJER I ALT,534
5,DRONNING LOUISES BRO,2015,A: LET TRAFIK I ALT,456
5,DRONNING LOUISES BRO,2015,B: TUNG TRAFIK I ALT,78
5,DRONNING LOUISES BRO,2015,BUSSER,62
5,DRONNING LOUISES BRO,2015,LASTBILER,16
5,DRONNING LOUISES BRO,2015,PERSONBILER + MC,341
5,DRONNING LOUISES BRO,2015,"VAREVOGNE (MAX. 3,5 t)",115
5,DRONNING LOUISES BRO,2016,A+B: KØRETØJER I ALT,513
5,DRONNING LOUISES BRO,2016,A: LET TRAFIK I ALT,443
5,DRONNING LOUISES BRO,2016,B: TUNG TRAFIK I ALT,70
5,DRONNING LOUISES BRO,2016,BUSSER,62
5,DRONNING LOUISES BRO,2016,CYKLER + KNALLERTER,4533
5,DRONNING LOUISES BRO,2016,LADCYKLER,134
5,DRONNING LOUISES BRO,2016,LASTBILER,8
5,DRONNING LOUISES BRO,2016,PERSONBILER + MC,343
5,DRONNING LOUISES BRO,2016,"VAREVOGNE (MAX. 3,5 t)",100
5,DRONNING LOUISES BRO,2017,A+B: KØRETØJER I ALT,473
5,DRONNING LOUISES BRO,2017,A: LET TRAFIK I ALT,410
5,DRONNING LOUISES BRO,2017,B: TUNG TRAFIK I ALT,63
5,DRONNING LOUISES BRO,2017,BUSSER,48
5,DRONNING LOUISES BRO,2017,CYKLER + KNALLERTER,3793
5,DRONNING LOUISES BRO,2017,LADCYKLER,116
5,DRONNING LOUISES BRO,2017,LASTBILER,15
5,DRONNING LOUISES BRO,2017,PERSONBILER + MC,312
5,DRONNING LOUISES BRO,2017,"VAREVOGNE (MAX. 3,5 t)",98
5,DRONNING LOUISES BRO,2018,A+B: KØRETØJER I ALT,394
5,DRONNING LOUISES BRO,2018,A: LET TRAFIK I ALT,336
5,DRONNING LOUISES BRO,2018,B: TUNG TRAFIK I ALT,58
5,DRONNING LOUISES BRO,2018,BUSSER,50
5,DRONNING LOUISES BRO,2018,CYKLER + KNALLERTER,4746
5,DRONNING LOUISES BRO,2018,LADCYKLER,166
5,DRONNING LOUISES BRO,2018,LASTBILER,8
5,DRONNING LOUISES BRO,2018,PERSONBILER + MC,263
5,DRONNING LOUISES BRO,2018,"VAREVOGNE (MAX. 3,5 t)",73
5,DRONNING LOUISES BRO,2019,A+B: KØRETØJER I ALT,430
5,DRONNING LOUISES BRO,2019,A: LET TRAFIK I ALT,367
5,DRONNING LOUISES BRO,2019,B: TUNG TRAFIK I ALT,63
5,DRONNING LOUISES BRO,2019,BUSSER,53
5,DRONNING LOUISES BRO,2019,CYKLER + KNALLERTER,4889
5,DRONNING LOUISES BRO,2019,LADCYKLER,169
5,DRONNING LOUISES BRO,2019,LASTBILER,10
5,DRONNING LOUISES BRO,2019,PERSONBILER + MC,303
5,DRONNING LOUISES BRO,2019,"VAREVOGNE (MAX. 3,5 t)",64
5,DRONNING LOUISES BRO,2020,A+B: KØRETØJER I ALT,329
5,DRONNING LOUISES BRO,2020,A: LET TRAFIK I ALT,276
5,DRONNING LOUISES BRO,2020,B: TUNG TRAFIK I ALT,53
5,DRONNING LOUISES BRO,2020,BUSSER,38
5,DRONNING LOUISES BRO,2020,CYKLER + KNALLERTER,3378
5,DRONNING LOUISES BRO,2020,LADCYKLER,172
5,DRONNING LOUISES BRO,2020,LASTBILER,15
5,DRONNING LOUISES BRO,2020,PERSONBILER + MC,208
5,DRONNING LOUISES BRO,2020,"VAREVOGNE (MAX. 3,5 t)",68
5,DRONNING LOUISES BRO,2021,A+B: KØRETØJER I ALT,435
5,DRONNING LOUISES BRO,2021,A: LET TRAFIK I ALT,389
5,DRONNING LOUISES BRO,2021,B: TUNG TRAFIK I ALT,46
5,DRONNING LOUISES BRO,2021,BUSSER,40
5,DRONNING LOUISES BRO,2021,CYKLER + KNALLERTER,4702
5,DRONNING LOUISES BRO,2021,LADCYKLER,216
5,DRONNING LOUISES BRO,2021,LASTBILER,6
5,DRONNING LOUISES BRO,2021,PERSONBILER + MC,294
5,DRONNING LOUISES BRO,2021,"VAREVOGNE (MAX. 3,5 t)",95
5,DRONNING LOUISES BRO,2023,A+B: KØRETØJER I ALT,299
5,DRONNING LOUISES BRO,2023,A: LET TRAFIK I ALT,248
5,DRONNING LOUISES BRO,2023,B: TUNG TRAFIK I ALT,51
5,DRONNING LOUISES BRO,2023,BUSSER,42
5,DRONNING LOUISES BRO,2023,CYKLER + KNALLERTER,4819
5,DRONNING LOUISES BRO,2023,LADCYKLER,266
5,DRONNING LOUISES BRO,2023,LASTBILER,9
5,DRONNING LOUISES BRO,2023,PERSONBILER + MC,188
5,DRONNING LOUISES BRO,2023,"VAREVOGNE (MAX. 3,5 t)",60
6,KAMPMANNSGADE ud for søerne,2013,A+B: KØRETØJER I ALT,640
6,KAMPMANNSGADE ud for søerne,2013,A: LET TRAFIK I ALT,618
6,KAMPMANNSGADE ud for søerne,2013,B: TUNG TRAFIK I ALT,22
6,KAMPMANNSGADE ud for søerne,2013,CYKLER + KNALLERTER,1826
6,KAMPMANNSGADE ud for søerne,2013,CYKLER + KNALLERTER I ALT,1855
6,KAMPMANNSGADE ud for søerne,2013,LADCYKLER,29
6,KAMPMANNSGADE ud for søerne,2013,LASTBILER,12
6,KAMPMANNSGADE ud for søerne,2013,PERSONBILER + MC,535
6,KAMPMANNSGADE ud for søerne,2013,"VAREVOGNE (MAX. 3,5 t)",83
6,KAMPMANNSGADE ud for søerne,2014,A+B: KØRETØJER I ALT,595
6,KAMPMANNSGADE ud for søerne,2014,A: LET TRAFIK I ALT,582
6,KAMPMANNSGADE ud for søerne,2014,B: TUNG TRAFIK I ALT,13
6,KAMPMANNSGADE ud for søerne,2014,CYKLER + KNALLERTER,1444
6,KAMPMANNSGADE ud for søerne,2014,CYKLER + KNALLERTER I ALT,1472
6,KAMPMANNSGADE ud for søerne,2014,LADCYKLER,28
6,KAMPMANNSGADE ud for søerne,2014,LASTBILER,2
6,KAMPMANNSGADE ud for søerne,2014,PERSONBILER + MC,493
6,KAMPMANNSGADE ud for søerne,2014,"VAREVOGNE (MAX. 3,5 t)",89
6,KAMPMANNSGADE ud for søerne,2015,A+B: KØRETØJER I ALT,750
6,KAMPMANNSGADE ud for søerne,2015,A: LET TRAFIK I ALT,738
6,KAMPMANNSGADE ud for søerne,2015,B: TUNG TRAFIK I ALT,12
6,KAMPMANNSGADE ud for søerne,2015,CYKLER + KNALLERTER,1377
6,KAMPMANNSGADE ud for søerne,2015,CYKLER + KNALLERTER I ALT,1406
6,KAMPMANNSGADE ud for søerne,2015,LADCYKLER,29
6,KAMPMANNSGADE ud for søerne,2015,LASTBILER,2
6,KAMPMANNSGADE ud for søerne,2015,PERSONBILER + MC,641
6,KAMPMANNSGADE ud for søerne,2015,"VAREVOGNE (MAX. 3,5 t)",97
6,KAMPMANNSGADE ud for søerne,2016,A+B: KØRETØJER I ALT,656
6,KAMPMANNSGADE ud for søerne,2016,A: LET TRAFIK I ALT,643
6,KAMPMANNSGADE ud for søerne,2016,B: TUNG TRAFIK I ALT,13
6,KAMPMANNSGADE ud for søerne,2016,CYKLER + KNALLERTER,1582
6,KAMPMANNSGADE ud for søerne,2016,CYKLER + KNALLERTER I ALT,1611
6,KAMPMANNSGADE ud for søerne,2016,LADCYKLER,29
6,KAMPMANNSGADE ud for søerne,2016,LASTBILER,5
6,KAMPMANNSGADE ud for søerne,2016,PERSONBILER + MC,571
6,KAMPMANNSGADE ud for søerne,2016,"VAREVOGNE (MAX. 3,5 t)",72
6,KAMPMANNSGADE ud for søerne,2017,A+B: KØRETØJER I ALT,747
6,KAMPMANNSGADE ud for søerne,2017,A: LET TRAFIK I ALT,733
6,KAMPMANNSGADE ud for søerne,2017,B: TUNG TRAFIK I ALT,14
6,KAMPMANNSGADE ud for søerne,2017,CYKLER + KNALLERTER,1577
6,KAMPMANNSGADE ud for søerne,2017,CYKLER + KNALLERTER I ALT,1606
6,KAMPMANNSGADE ud for søerne,2017,LADCYKLER,29
6,KAMPMANNSGADE ud for søerne,2017,LASTBILER,6
6,KAMPMANNSGADE ud for søerne,2017,PERSONBILER + MC,636
6,KAMPMANNSGADE ud for søerne,2017,"VAREVOGNE (MAX. 3,5 t)",97
6,KAMPMANNSGADE ud for søerne,2018,A+B: KØRETØJER I ALT,632
6,KAMPMANNSGADE ud for søerne,2018,A: LET TRAFIK I ALT,618
6,KAMPMANNSGADE ud for søerne,2018,B: TUNG TRAFIK I ALT,14
6,KAMPMANNSGADE ud for søerne,2018,CYKLER + KNALLERTER,1698
6,KAMPMANNSGADE ud for søerne,2018,CYKLER + KNALLERTER I ALT,1736
6,KAMPMANNSGADE ud for søerne,2018,LADCYKLER,38
6,KAMPMANNSGADE ud for søerne,2018,LASTBILER,4
6,KAMPMANNSGADE ud for søerne,2018,PERSONBILER + MC,533
6,KAMPMANNSGADE ud for søerne,2018,"VAREVOGNE (MAX. 3,5 t)",85
6,KAMPMANNSGADE ud for søerne,2019,A+B: KØRETØJER I ALT,653
6,KAMPMANNSGADE ud for søerne,2019,A: LET TRAFIK I ALT,629
6,KAMPMANNSGADE ud for søerne,2019,B: TUNG TRAFIK I ALT,24
6,KAMPMANNSGADE ud for søerne,2019,CYKLER + KNALLERTER,1508
6,KAMPMANNSGADE ud for søerne,2019,CYKLER + KNALLERTER I ALT,1546
6,KAMPMANNSGADE ud for søerne,2019,LADCYKLER,38
6,KAMPMANNSGADE ud for søerne,2019,LASTBILER,14
6,KAMPMANNSGADE ud for søerne,2019,PERSONBILER + MC,559
6,KAMPMANNSGADE ud for søerne,2019,"VAREVOGNE (MAX. 3,5 t)",70
6,KAMPMANNSGADE ud for søerne,2020,A+B: KØRETØJER I ALT,519
6,KAMPMANNSGADE ud for søerne,2020,A: LET TRAFIK I ALT,511
6,KAMPMANNSGADE ud for søerne,2020,B: TUNG TRAFIK I ALT,8
6,KAMPMANNSGADE ud for søerne,2020,CYKLER + KNALLERTER,1422
6,KAMPMANNSGADE ud for søerne,2020,CYKLER + KNALLERTER I ALT,1469
6,KAMPMANNSGADE ud for søerne,2020,LADCYKLER,47
6,KAMPMANNSGADE ud for søerne,2020,LASTBILER,4
6,KAMPMANNSGADE ud for søerne,2020,PERSONBILER + MC,435
6,KAMPMANNSGADE ud for søerne,2020,"VAREVOGNE (MAX. 3,5 t)",76
6,KAMPMANNSGADE ud for søerne,2021,A+B: KØRETØJER I ALT,427
6,KAMPMANNSGADE ud for søerne,2021,A: LET TRAFIK I ALT,416
6,KAMPMANNSGADE ud for søerne,2021,B: TUNG TRAFIK I ALT,11
6,KAMPMANNSGADE ud for søerne,2021,CYKLER + KNALLERTER,1403
6,KAMPMANNSGADE ud for søerne,2021,CYKLER + KNALLERTER I ALT,1456
6,KAMPMANNSGADE ud for søerne,2021,LADCYKLER,53
6,KAMPMANNSGADE ud for søerne,2021,LASTBILER,6
6,KAMPMANNSGADE ud for søerne,2021,PERSONBILER + MC,362
6,KAMPMANNSGADE ud for søerne,2021,"VAREVOGNE (MAX. 3,5 t)",54
6,KAMPMANNSGADE ud for søerne,2022,A+B: KØRETØJER I ALT,485
6,KAMPMANNSGADE ud for søerne,2022,A: LET TRAFIK I ALT,472
6,KAMPMANNSGADE ud for søerne,2022,B: TUNG TRAFIK I ALT,13
6,KAMPMANNSGADE ud for søerne,2022,CYKLER + KNALLERTER,1555
6,KAMPMANNSGADE ud for søerne,2022,CYKLER + KNALLERTER I ALT,1608
6,KAMPMANNSGADE ud for søerne,2022,LADCYKLER,53
6,KAMPMANNSGADE ud for søerne,2022,LASTBILER,6
6,KAMPMANNSGADE ud for søerne,2022,PERSONBILER + MC,407
6,KAMPMANNSGADE ud for søerne,2022,"VAREVOGNE (MAX. 3,5 t)",65
6,KAMPMANNSGADE ud for søerne,2023,A+B: KØRETØJER I ALT,443
6,KAMPMANNSGADE ud for søerne,2023,A: LET TRAFIK I ALT,425
6,KAMPMANNSGADE ud for søerne,2023,B: TUNG TRAFIK I ALT,18
6,KAMPMANNSGADE ud for søerne,2023,CYKLER + KNALLERTER,1544
6,KAMPMANNSGADE ud for søerne,2023,CYKLER + KNALLERTER I ALT,1608
6,KAMPMANNSGADE ud for søerne,2023,LADCYKLER,64
6,KAMPMANNSGADE ud for søerne,2023,LASTBILER,11
6,KAMPMANNSGADE ud for søerne,2023,PERSONBILER + MC,380
6,KAMPMANNSGADE ud for søerne,2023,"VAREVOGNE (MAX. 3,5 t)",45
19,GYLDENLØVESGADE ud for Søerne ,2013,A+B: KØRETØJER I ALT,4225
19,GYLDENLØVESGADE ud for Søerne ,2013,A: LET TRAFIK I ALT,4058
19,GYLDENLØVESGADE ud for Søerne ,2013,B: TUNG TRAFIK I ALT,167
19,GYLDENLØVESGADE ud for Søerne ,2013,CYKLER + KNALLERTER,4249
19,GYLDENLØVESGADE ud for Søerne ,2013,CYKLER + KNALLERTER I ALT,4300
19,GYLDENLØVESGADE ud for Søerne ,2013,LADCYKLER,51
19,GYLDENLØVESGADE ud for Søerne ,2013,LASTBILER,93
19,GYLDENLØVESGADE ud for Søerne ,2013,PERSONBILER + MC,3303
19,GYLDENLØVESGADE ud for Søerne ,2013,"VAREVOGNE (MAX. 3,5 t)",755
19,GYLDENLØVESGADE ud for Søerne ,2015,A+B: KØRETØJER I ALT,3679
19,GYLDENLØVESGADE ud for Søerne ,2015,A: LET TRAFIK I ALT,3527
19,GYLDENLØVESGADE ud for Søerne ,2015,B: TUNG TRAFIK I ALT,152
19,GYLDENLØVESGADE ud for Søerne ,2015,CYKLER + KNALLERTER,4526
19,GYLDENLØVESGADE ud for Søerne ,2015,CYKLER + KNALLERTER I ALT,4603
19,GYLDENLØVESGADE ud for Søerne ,2015,LADCYKLER,77
19,GYLDENLØVESGADE ud for Søerne ,2015,LASTBILER,69
19,GYLDENLØVESGADE ud for Søerne ,2015,PERSONBILER + MC,2883
19,GYLDENLØVESGADE ud for Søerne ,2015,"VAREVOGNE (MAX. 3,5 t)",644
19,GYLDENLØVESGADE ud for Søerne ,2016,A+B: KØRETØJER I ALT,3797
19,GYLDENLØVESGADE ud for Søerne ,2016,A: LET TRAFIK I ALT,3632
19,GYLDENLØVESGADE ud for Søerne ,2016,B: TUNG TRAFIK I ALT,165
19,GYLDENLØVESGADE ud for Søerne ,2016,CYKLER + KNALLERTER,4656
19,GYLDENLØVESGADE ud for Søerne ,2016,CYKLER + KNALLERTER I ALT,4728
19,GYLDENLØVESGADE ud for Søerne ,2016,LADCYKLER,72
19,GYLDENLØVESGADE ud for Søerne ,2016,LASTBILER,87
19,GYLDENLØVESGADE ud for Søerne ,2016,PERSONBILER + MC,2992
19,GYLDENLØVESGADE ud for Søerne ,2016,"VAREVOGNE (MAX. 3,5 t)",640
19,GYLDENLØVESGADE ud for Søerne ,2017,A+B: KØRETØJER I ALT,3749
19,GYLDENLØVESGADE ud for Søerne ,2017,A: LET TRAFIK I ALT,3596
19,GYLDENLØVESGADE ud for Søerne ,2017,B: TUNG TRAFIK I ALT,153
19,GYLDENLØVESGADE ud for Søerne ,2017,CYKLER + KNALLERTER,4477
19,GYLDENLØVESGADE ud for Søerne ,2017,CYKLER + KNALLERTER I ALT,4556
19,GYLDENLØVESGADE ud for Søerne ,2017,LADCYKLER,79
19,GYLDENLØVESGADE ud for Søerne ,2017,LASTBILER,69
19,GYLDENLØVESGADE ud for Søerne ,2017,PERSONBILER + MC,2933
19,GYLDENLØVESGADE ud for Søerne ,2017,"VAREVOGNE (MAX. 3,5 t)",663
19,GYLDENLØVESGADE ud for Søerne ,2018,A+B: KØRETØJER I ALT,3579
19,GYLDENLØVESGADE ud for Søerne ,2018,A: LET TRAFIK I ALT,3416
19,GYLDENLØVESGADE ud for Søerne ,2018,B: TUNG TRAFIK I ALT,163
19,GYLDENLØVESGADE ud for Søerne ,2018,CYKLER + KNALLERTER,4923
19,GYLDENLØVESGADE ud for Søerne ,2018,CYKLER + KNALLERTER I ALT,5031
19,GYLDENLØVESGADE ud for Søerne ,2018,LADCYKLER,108
19,GYLDENLØVESGADE ud for Søerne ,2018,LASTBILER,76
19,GYLDENLØVESGADE ud for Søerne ,2018,PERSONBILER + MC,2785
19,GYLDENLØVESGADE ud for Søerne ,2018,"VAREVOGNE (MAX. 3,5 t)",631
19,GYLDENLØVESGADE ud for Søerne ,2019,A+B: KØRETØJER I ALT,3536
19,GYLDENLØVESGADE ud for Søerne ,2019,A: LET TRAFIK I ALT,3388
19,GYLDENLØVESGADE ud for Søerne ,2019,B: TUNG TRAFIK I ALT,148
19,GYLDENLØVESGADE ud for Søerne ,2019,CYKLER + KNALLERTER,4483
19,GYLDENLØVESGADE ud for Søerne ,2019,CYKLER + KNALLERTER I ALT,4582
19,GYLDENLØVESGADE ud for Søerne ,2019,LADCYKLER,99
19,GYLDENLØVESGADE ud for Søerne ,2019,LASTBILER,72
19,GYLDENLØVESGADE ud for Søerne ,2019,PERSONBILER + MC,2832
19,GYLDENLØVESGADE ud for Søerne ,2019,"VAREVOGNE (MAX. 3,5 t)",556
19,GYLDENLØVESGADE ud for Søerne ,2020,A+B: KØRETØJER I ALT,3573
19,GYLDENLØVESGADE ud for Søerne ,2020,A: LET TRAFIK I ALT,3436
19,GYLDENLØVESGADE ud for Søerne ,2020,B: TUNG TRAFIK I ALT,137
19,GYLDENLØVESGADE ud for Søerne ,2020,CYKLER + KNALLERTER,4682
19,GYLDENLØVESGADE ud for Søerne ,2020,CYKLER + KNALLERTER I ALT,4805
19,GYLDENLØVESGADE ud for Søerne ,2020,LADCYKLER,123
19,GYLDENLØVESGADE ud for Søerne ,2020,LASTBILER,69
19,GYLDENLØVESGADE ud for Søerne ,2020,PERSONBILER + MC,2789
19,GYLDENLØVESGADE ud for Søerne ,2020,"VAREVOGNE (MAX. 3,5 t)",647
19,GYLDENLØVESGADE ud for Søerne ,2021,A+B: KØRETØJER I ALT,3421
19,GYLDENLØVESGADE ud for Søerne ,2021,A: LET TRAFIK I ALT,3296
19,GYLDENLØVESGADE ud for Søerne ,2021,B: TUNG TRAFIK I ALT,125
19,GYLDENLØVESGADE ud for Søerne ,2021,CYKLER + KNALLERTER,4128
19,GYLDENLØVESGADE ud for Søerne ,2021,CYKLER + KNALLERTER I ALT,4284
19,GYLDENLØVESGADE ud for Søerne ,2021,LADCYKLER,156
19,GYLDENLØVESGADE ud for Søerne ,2021,LASTBILER,67
19,GYLDENLØVESGADE ud for Søerne ,2021,PERSONBILER + MC,2762
19,GYLDENLØVESGADE ud for Søerne ,2021,"VAREVOGNE (MAX. 3,5 t)",534
19,GYLDENLØVESGADE ud for Søerne ,2022,A+B: KØRETØJER I ALT,3678
19,GYLDENLØVESGADE ud for Søerne ,2022,A: LET TRAFIK I ALT,3560
19,GYLDENLØVESGADE ud for Søerne ,2022,B: TUNG TRAFIK I ALT,118
19,GYLDENLØVESGADE ud for Søerne ,2022,CYKLER + KNALLERTER,4147
19,GYLDENLØVESGADE ud for Søerne ,2022,CYKLER + KNALLERTER I ALT,4299
19,GYLDENLØVESGADE ud for Søerne ,2022,LADCYKLER,152
19,GYLDENLØVESGADE ud for Søerne ,2022,LASTBILER,61
19,GYLDENLØVESGADE ud for Søerne ,2022,PERSONBILER + MC,3003
19,GYLDENLØVESGADE ud for Søerne ,2022,"VAREVOGNE (MAX. 3,5 t)",557
19,GYLDENLØVESGADE ud for Søerne ,2023,A+B: KØRETØJER I ALT,3760
19,GYLDENLØVESGADE ud for Søerne ,2023,A: LET TRAFIK I ALT,3621
19,GYLDENLØVESGADE ud for Søerne ,2023,B: TUNG TRAFIK I ALT,139
19,GYLDENLØVESGADE ud for Søerne ,2023,CYKLER + KNALLERTER,4564
19,GYLDENLØVESGADE ud for Søerne ,2023,CYKLER + KNALLERTER I ALT,4734
19,GYLDENLØVESGADE ud for Søerne ,2023,LADCYKLER,170
19,GYLDENLØVESGADE ud for Søerne ,2023,LASTBILER,81
19,GYLDENLØVESGADE ud for Søerne ,2023,PERSONBILER + MC,2994
19,GYLDENLØVESGADE ud for Søerne ,2023,"VAREVOGNE (MAX. 3,5 t)",627
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,A+B: KØRETØJER I ALT,2755
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,A: LET TRAFIK I ALT,2619
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,B: TUNG TRAFIK I ALT,136
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,CYKLER + KNALLERTER,547
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,CYKLER + KNALLERTER I ALT,551
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,LADCYKLER,4
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,LASTBILER,109
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,PERSONBILER + MC,2126
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2013,"VAREVOGNE (MAX. 3,5 t)",493
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,A+B: KØRETØJER I ALT,2704
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,A: LET TRAFIK I ALT,2562
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,B: TUNG TRAFIK I ALT,142
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,CYKLER + KNALLERTER,493
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,CYKLER + KNALLERTER I ALT,494
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,LADCYKLER,1
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,LASTBILER,114
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,PERSONBILER + MC,2112
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2014,"VAREVOGNE (MAX. 3,5 t)",450
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,A+B: KØRETØJER I ALT,2951
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,A: LET TRAFIK I ALT,2766
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,B: TUNG TRAFIK I ALT,185
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,CYKLER + KNALLERTER,548
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,CYKLER + KNALLERTER I ALT,552
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,LADCYKLER,4
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,LASTBILER,149
25,KALVEBOD BRYGGE sv.f. Bernstorffsgade,2015,PERSONBILER + MC,2273
